fpr,tpr,thresholds
0.0,0.0,2.0
0.0,0.00022918680104928898,1.0
0.0,0.010462515532238023,0.9999999
0.0,0.043459892309816374,0.99999976
0.0,0.0854783929311059,0.99999964
0.0,0.13714759077730224,0.9999995
0.0,0.18914814303465416,0.9999994
0.0,0.23708408118183075,0.9999993
0.0,0.27901974320033135,0.99999917
0.0,0.3163854756316443,0.99999905
0.0,0.3550849095678586,0.9999989
0.0,0.3867844815684109,0.9999988
0.0,0.414529890929173,0.9999987
0.0,0.4374016291591882,0.99999857
0.0,0.4583874085323761,0.99999845
0.0,0.4787574209581665,0.99999833
0.0,0.49787104790832526,0.9999982
0.0,0.5144194394587878,0.9999981
0.0,0.5298854065994754,0.999998
0.0,0.5437084081181831,0.99999785
0.0,0.5573574485710341,0.99999774
0.0,0.5693055363799531,0.9999976
0.0,0.5786524920613005,0.9999975
0.0,0.5879607897280132,0.9999974
0.0,0.5960182244926135,0.99999726
0.0,0.6047521745133232,0.99999714
3.1672731994843678e-06,0.6125279580284413,0.999997
3.1672731994843678e-06,0.6196631230153251,0.9999969
3.1672731994843678e-06,0.6270661328178931,0.9999968
3.1672731994843678e-06,0.6337263564821207,0.99999666
3.1672731994843678e-06,0.6399282065442496,0.99999654
3.1672731994843678e-06,0.6454204059091536,0.9999964
3.1672731994843678e-06,0.6502637028855447,0.9999963
3.1672731994843678e-06,0.6557034378020158,0.9999962
3.1672731994843678e-06,0.6611707855860831,0.99999607
3.1672731994843678e-06,0.6653320447328455,0.99999595
3.1672731994843678e-06,0.669634129504349,0.9999958
3.1672731994843678e-06,0.6740577108932763,0.9999957
3.1672731994843678e-06,0.6777357448571034,0.9999956
3.1672731994843678e-06,0.6816622946292973,0.99999547
3.1672731994843678e-06,0.6853789866077592,0.99999535
3.1672731994843678e-06,0.6894518845782135,0.99999523
3.1672731994843678e-06,0.6934806019605136,0.9999951
3.1672731994843678e-06,0.6972718486814856,0.999995
3.1672731994843678e-06,0.700723457131023,0.9999949
3.1672731994843678e-06,0.7043103686317824,0.99999475
3.1672731994843678e-06,0.7076901836255696,0.99999464
3.1672731994843678e-06,0.7108518569653458,0.9999945
3.1672731994843678e-06,0.7137594919232362,0.9999944
3.1672731994843678e-06,0.7163385337567306,0.9999943
3.1672731994843678e-06,0.7194366975010354,0.99999416
3.1672731994843678e-06,0.7223857517603203,0.99999404
3.1672731994843678e-06,0.7250365870495651,0.9999939
3.1672731994843678e-06,0.7281237056468314,0.9999938
3.1672731994843678e-06,0.7308214828109899,0.9999937
3.1672731994843678e-06,0.7334391826591191,0.99999356
3.1672731994843678e-06,0.7359795664779787,0.99999344
3.1672731994843678e-06,0.7380615766947397,0.9999933
3.1672731994843678e-06,0.7401850062128952,0.9999932
3.1672731994843678e-06,0.7427474803258318,0.9999931
3.1672731994843678e-06,0.7452215932624603,0.99999297
3.1672731994843678e-06,0.7479718348750518,0.99999285
