fpr,tpr,threshold
0.0,0.0,2.0
0.048270619536297986,0.7572552809609278,1.0
0.048365640440896994,0.7572552809609278,0.9999999999999996
0.04839731407576334,0.7572828938285241,0.9999999999999991
0.05260990751298619,0.7572828938285241,0.9999999999999987
0.05413024198657038,0.7572828938285241,0.9999999999999984
0.08377676422146206,0.7733535827695707,0.9999999999999982
0.0838084378563284,0.7733535827695707,0.9999999999999978
0.08399847966552641,0.7733535827695707,0.9999999999999973
0.08409350057012542,0.7733535827695707,0.9999999999999969
0.08412517420499177,0.7733535827695707,0.9999999999999967
0.10458634232864564,0.7733535827695707,0.9999999999999964
0.10461801596351197,0.7733535827695707,0.999999999999996
0.10496642594704168,0.7733535827695707,0.9999999999999956
0.11354998099581907,0.7733535827695707,0.9999999999999947
0.11358165463068541,0.7733535827695707,0.9999999999999938
0.11554541999239833,0.7733535827695707,0.9999999999999929
0.115608767262131,0.7733535827695707,0.9999999999999925
0.1174775117192449,0.7733535827695707,0.9999999999999911
0.11750918535411124,0.7733535827695707,0.9999999999999902
0.12054985430127961,0.7733535827695707,0.9999999999999893
0.12226023058406182,0.7733535827695707,0.9999999999999876
0.12428734321550741,0.7733535827695707,0.9999999999999858
0.12653617129101735,0.7733535827695707,0.999999999999984
0.1265678449258837,0.7733535827695707,0.9999999999999831
0.12824654757379958,0.7733535827695707,0.9999999999999822
0.12932345115925503,0.7733535827695707,0.9999999999999805
0.1301469656657798,0.7733535827695707,0.9999999999999787
0.13017863930064613,0.7733535827695707,0.999999999999978
0.1309071329025719,0.7733535827695707,0.9999999999999769
0.1309704801723046,0.7733535827695707,0.999999999999976
0.1319206892182947,0.7733535827695707,0.9999999999999751
0.1326808564550868,0.7733535827695707,0.9999999999999734
0.13315596097808186,0.7733535827695707,0.9999999999999716
0.1335360445964779,0.7733535827695707,0.9999999999999698
0.1342328645635373,0.7733535827695707,0.9999999999999662
0.134391232737869,0.7733535827695707,0.9999999999999645
0.1346446218167997,0.7733535827695707,0.9999999999999627
0.13483466362599772,0.7733535827695707,0.9999999999999609
0.1350880527049284,0.7733535827695707,0.9999999999999574
0.13511972633979474,0.7733535827695707,0.9999999999999565
0.13543646268845813,0.7733535827695707,0.9999999999999556
0.13556315722792348,0.7733535827695707,0.9999999999999538
0.13565817813252248,0.7733535827695707,0.999999999999952
0.1359115672114532,0.7733535827695707,0.9999999999999485
0.13594324084631954,0.7733535827695707,0.9999999999999476
0.1361649562903839,0.7733535827695707,0.9999999999999467
0.13622830356011656,0.7733535827695707,0.9999999999999449
0.1362599771949829,0.7733535827695707,0.9999999999999432
0.1364500190041809,0.7733535827695707,0.9999999999999414
0.13648169263904725,0.7733535827695707,0.9999999999999396
0.13660838717851262,0.7733535827695707,0.9999999999999378
0.13689344989230964,0.7733535827695707,0.999999999999936
0.13708349170150766,0.7733535827695707,0.9999999999999325
0.137210186240973,0.7733535827695707,0.9999999999999307
0.13730520714557204,0.7733535827695707,0.999999999999929
0.1373685544153047,0.7733535827695707,0.9999999999999272
0.13740022805017105,0.7733535827695707,0.9999999999999261
0.13759026985936906,0.7733811956371669,0.9999999999999254
0.13781198530343342,0.7740439044594781,0.9999999999999236
0.1378753325731661,0.7740439044594781,0.9999999999999225
0.13793867984289876,0.7740439044594781,0.9999999999999221
0.13850880527049284,0.7750379676929449,0.9999999999999218
0.1385721525402255,0.7750379676929449,0.9999999999999216
0.13901558342835424,0.7776335772469971,0.9999999999999201
0.13945901431648297,0.7809747342261494,0.9999999999999183
0.13999746610921068,0.7821897004003866,0.9999999999999165
0.14082098061573547,0.7834046665746238,0.9999999999999147
0.1415178005827949,0.7843987298080906,0.999999999999913
0.14154947421766123,0.7843987298080906,0.9999999999999121
0.142372988724186,0.7856965345851167,0.9999999999999112
0.14319650323071076,0.7867734364213723,0.9999999999999094
0.1440833650069682,0.7874085323760872,0.9999999999999076
0.14538198403648803,0.7883197570067652,0.9999999999999059
0.14623717217787913,0.7893414331078282,0.9999999999999041
0.1475674648422653,0.7903078834736987,0.9999999999999023
0.14759913847713163,0.7903078834736987,0.9999999999999014
0.14854934752312177,0.7912191081043767,0.9999999999999005
0.1485810211579881,0.7912191081043767,0.9999999999998996
0.1499429874572406,0.7921579456026508,0.9999999999998987
0.15089319650323071,0.7924064614110176,0.999999999999897
0.15178005827948815,0.7930415573657325,0.9999999999998952
0.15254022551628024,0.7938975562612177,0.9999999999998934
0.15257189915114658,0.7938975562612177,0.9999999999998925
0.15358545546686939,0.7946983294215104,0.9999999999998916
0.15396553908526542,0.7960237470661328,0.9999999999998899
0.15459901178259217,0.7962446500069033,0.9999999999998881
0.15523248447991891,0.7966312301532514,0.9999999999998863
0.15567591536804765,0.7977633577246998,0.9999999999998845
0.15646775623970607,0.7982880022090294,0.9999999999998828
0.1564994298745724,0.7982880022090294,0.9999999999998819
0.1571645762067655,0.7983708408118183,0.999999999999881
0.15719624984163183,0.7983708408118183,0.9999999999998801
0.1577663752692259,0.7984812922822035,0.9999999999998792
0.15814645888762194,0.7987574209581665,0.9999999999998774
0.15817813252248827,0.7987574209581665,0.9999999999998765
0.158526542506018,0.7988678724285517,0.9999999999998757
0.1591283415684784,0.7989507110313406,0.9999999999998739
0.15960344609147345,0.7990335496341295,0.9999999999998721
0.16011022424933485,0.7991163882369184,0.9999999999998703
0.16058532877232992,0.7991992268397073,0.9999999999998685
0.1609970860255923,0.7993925169128814,0.9999999999998668
0.1615038641834537,0.8001932900731741,0.999999999999865
0.1618522741669834,0.8012149661742372,0.9999999999998632
