fpr,tpr,threshold
0.0,0.0,2.0
0.0004377325454147516,0.7510058113544926,1.0
0.0004377325454147516,0.8095663835493965,0.999642725438545
0.0004377325454147516,0.8278945015645954,0.9994413612408573
0.0004377325454147516,0.8529280286097451,0.9969679721732846
0.0025169621361348215,0.8962896736700938,0.9621747284714177
0.003392427226964325,0.9226642825212338,0.9450378050309792
0.004377325454147516,0.9320518551631649,0.9169921457786653
0.013679142044210987,0.9749664729548503,0.82689510763888
0.013898008316918363,0.9749664729548503,0.4050348658550999
0.1935872182096739,0.9986589181940099,0.10885349702876747
0.20671919457211643,1.0,0.0735399177226999
1.0,1.0,0.0
